timestamp,action,ticker,strategy,strike,expiry,qty,credit,delta,iv,dte,status,pnl,notes
2026-04-10 16:16,OPEN,SMH,BPS,390,20260515,2,5.75,0.173,44.31%,34,Filled,0,Score 100 | Buffer 11.1%
2026-04-10 16:32,OPEN,SPY,BPS,640,20260515,2,3.76,0.154,21.69%,34,Filled,0,Score 90 | Buffer 6.0%
2026-04-10 16:32,OPEN,GLD,CSP,405,20260515,1,3.55,0.161,29.75%,34,Filled,0,Score 80 | Buffer 7.6%
2026-04-10 16:39,OPEN,IWM,CSP,245,20260515,1,2.37,0.188,27.12%,34,Filled,0,Score 80 | Buffer 6.5%
2026-04-10 18:35,OPEN,QQQM,CSP,240,20260515,1,2.75,0.240,24.49%,34,Filled,0,Score 65 | Buffer 4.6%
2026-04-14 20:06,CLOSE_PROFIT,QQQM,CLOSE,240.0,20260515,1,1.40,,,30,Filled,145,50% profit target
2026-04-15 10:00,OPEN,SMH,CSP,385,20260515,2,2.80,0.20,40.0%,30,Filled,0,Backfilled manually — no original entry
2026-04-15 10:00,OPEN,QQQ,CSP,600,20260522,1,4.97,0.20,28.0%,37,Filled,0,Backfilled manually — no original entry
2026-04-15 10:00,OPEN,GLD,CSP,405,20260515,1,3.54,0.20,28.0%,30,Filled,0,Backfilled manually — no original entry
2026-04-15 15:41,CLOSE_PROFIT,SPY,CLOSE,640.0,20260515,2,1.84,,,29,Filled,382,50% profit target
2026-04-15 15:41,CLOSE_PROFIT,IWM,CLOSE,245.0,20260515,1,1.15,,,29,Filled,122,50% profit target
2026-04-15 15:52,OPEN,IWM,CSP,256,20260522,1,3.19,0,0,36,Filled,0,Score 37 | Buffer 4.7%
2026-04-15 15:57,OPEN,QQQ,BPS,610,20260522,1,8.21,0,0,36,Filled,0,Score 27 | Buffer 3.1%
2026-04-15 21:01,OPEN,GDX,BPS,91.5,20260522,1,2.955,0,0,36,Expired,0,Score 49 | Buffer 6.8% | OrderID 9 | Opening order not present in IBKR after 1806836s 2026-05-06T18:54:56+02:00
2026-04-16 21:19,CLOSE_PROFIT,QQQ,CLOSE,610.0,20260522,1,1.6489444479942819,0,0,0,Filled,655.05,50% profit ($655 >= $410) | BPS | OrderID 11
2026-04-16 21:19,CLOSE_PROFIT,SMH,CLOSE,390.0,20260515,2,0.5413226266811115,0,0,0,Filled,1040.87,50% profit ($1041 >= $575) | BPS | OrderID 12
2026-04-16 21:33,OPEN,QQQM,CSP,245.0,20260515,1,1.4,0,0,28,Expired,0,Score 56 | Buffer 6.8% | OrderID 13 | Opening order not present in IBKR after 1718516s 2026-05-06T18:54:56+02:00
2026-04-16 21:33,OPEN,QQQ,BPS,618.0,20260522,15,1.9350000000000005,0,0,35,Expired,0,Spread $618.0/608.0 | Score 52 | Buffer 3.4% | OrderID 14 | Opening order not present in IBKR after 1718516s 2026-05-06T18:54:56+02:00
2026-04-17 21:36,CLOSE_PROFIT,GLD,CLOSE,405.0,20260515,1,1.7000000476837158,0,0,0,Expired,184.22,50% profit ($184 >= $177) | CSP | OrderID 15 | Expired on restart after 1048840s 2026-04-30T00:56:40+02:00
2026-04-17 21:50,CLOSE_CANCEL,QQQM,CLOSE,245.0,20260515,1,0,0,0,0,NotFilled,0,Order 13 never filled — manual reconcile
2026-04-17 21:50,CLOSE_CANCEL,QQQ,CLOSE,618.0,20260522,15,0,0,0,0,NotFilled,0,Order 14 never filled — manual reconcile
2026-04-17 21:55,CLOSE_MANUAL,GDX,CLOSE,91.5,20260522,12,0,0,0,0,ManualClose,0,Closed manually earlier; backfill
2026-04-30 15:26,OPEN,XLE,CSP,55.0,20260605,2,0.6878608173966079,0.20621391810294817,29.94%,35,Expired,0,Score 77 | Buffer 5.8% | OrderID 38 | SignalID XLE-CSP-55.0--20260605 | Opening order not present in IBKR after 530936s 2026-05-06T18:54:56+02:00
2026-04-30 15:27,OPEN,XLE,CSP,55.0,20260605,2,0.6878608173966079,0.20621391810294817,29.94%,35,Expired,0,Score 77 | Buffer 5.8% | OrderID 39 | SignalID XLE-CSP-55.0--20260605 | Opening order not present in IBKR after 530876s 2026-05-06T18:54:56+02:00
2026-04-30 16:02,OPEN,XLE,CSP,55.0,20260605,2,0.5854195134067477,0.19085085233649857,28.76%,35,Expired,0,Score 75 | Buffer 5.7% | OrderID 40 | SignalID XLE-CSP-55.0--20260605 | Opening order not present in IBKR after 528776s 2026-05-06T18:54:56+02:00
2026-05-06 18:37,CLOSE_MANUAL,GLD,CLOSE,405.0,20260515,1,0,0,,0,ManualClose,0,Manual reconcile accepted IBKR view; position absent from live snapshot
2026-05-06 18:37,CLOSE_MANUAL,SMH,CLOSE,385.0,20260515,2,0,0,,0,ManualClose,0,Manual reconcile accepted IBKR view; position absent from live snapshot
2026-05-06 18:37,CLOSE_MANUAL,QQQ,CLOSE,600.0,20260522,1,0,0,,0,ManualClose,0,Manual reconcile accepted IBKR view; position absent from live snapshot
2026-05-06 18:37,CLOSE_MANUAL,IWM,CLOSE,256.0,20260522,1,0,0,,0,ManualClose,0,Manual reconcile accepted IBKR view; position absent from live snapshot
2026-05-06 18:37,CLOSE_MANUAL,XLE,CLOSE,55.0,20260605,2,0,0,,0,ManualClose,0,Manual reconcile accepted IBKR view; position absent from live snapshot
2026-05-06 18:37,OPEN,TLT,CSP,84.0,20260529,1,0.3,0,,22,Reconciled,0,Manual reconcile reconstructed from IBKR/live snapshot
2026-05-06 18:47,OPEN,SPY,BPS,708.0,20260612,2,1.5500001907348633,0.24805215105419387,17.51%,36,NotFilled,0,Spread $708.0/698.0 | Score 31 | Buffer 3.2% | OrderID 41 | SignalID SPY-BPS-708.0-698.0-20260612 | NotFilled 2026-05-06T18:57:55+02:00
2026-05-06 18:47,OPEN,TLT,CSP,83.5,20260612,1,0.3499999940395355,0.20255824516877705,11.47%,36,Filled,0,Score 8 | Buffer 3.0% | OrderID 42 | SignalID TLT-CSP-83.5--20260612 | Matched IBKR position 2026-05-06T18:54:56+02:00
2026-05-06 20:25,OPEN,SPY,BPS,707.0,20260612,2,1.570000171661377,0.23003867257875035,17.65%,36,NotFilled,0,Spread $707.0/697.0 | Score 38 | Buffer 3.3% | OrderID 43 | SignalID SPY-BPS-707.0-697.0-20260612 | NotFilled 2026-05-06T20:26:05+02:00
2026-05-07 15:38,OPEN,XLF,WHEEL,47.5,20260612,4,0.7599999904632568,0.20538093219007814,29.51%,35,Expired,0,Score 97 | Buffer 8.1% | OrderID 44 | SignalID XLF-WHEEL-47.5--20260612 | Opening order not present in IBKR after 1905s 2026-05-07T16:09:45+02:00
2026-05-07 15:38,OPEN,XLP,WHEEL,80.0,20260612,3,0.5059404723346231,0.18839139528179172,18.14%,35,Expired,0,Score 76 | Buffer 5.0% | OrderID 45 | SignalID XLP-WHEEL-80.0--20260612 | Opening order not present in IBKR after 1905s 2026-05-07T16:09:45+02:00
2026-05-07 15:38,OPEN,XLV,WHEEL,139.0,20260612,2,1.1399999856948853,0.21590461065767308,19.58%,35,Expired,0,Score 74 | Buffer 4.2% | OrderID 46 | SignalID XLV-WHEEL-139.0--20260612 | Opening order not present in IBKR after 1905s 2026-05-07T16:09:45+02:00
2026-05-07 15:39,OPEN,IWM,BPS,273.0,20260612,3,0.9000000953674316,0.24103749696912924,24.03%,35,NotFilled,0,Spread $273.0/268.0 | Score 70 | Buffer 4.9% | OrderID 47 | SignalID IWM-BPS-273.0-268.0-20260612 | NotFilled 2026-05-07T15:56:06+02:00
2026-05-07 15:39,OPEN,EEM,WHEEL,62.5,20260612,3,0.9599999785423279,0.16104610648564588,34.62%,35,Expired,0,Score 59 | Buffer 7.4% | OrderID 48 | SignalID EEM-WHEEL-62.5--20260612 | Opening order not present in IBKR after 1845s 2026-05-07T16:09:45+02:00
2026-05-07 15:39,OPEN,DIA,BPS,482.5,20260612,2,0.7800002098083496,0.23181678064097833,16.66%,35,NotFilled,0,Spread $482.5/477.5 | Score 38 | Buffer 3.5% | OrderID 49 | SignalID DIA-BPS-482.5-477.5-20260612 | NotFilled 2026-05-07T15:56:08+02:00
2026-05-07 15:41,OPEN,XLI,WHEEL,166.0,20260612,1,1.6016509576422533,0.19742742087311893,35.69%,35,Expired,0,Score 99 | Buffer 5.9% | OrderID 50 | SignalID XLI-WHEEL-166.0--20260612 | Opening order not present in IBKR after 1725s 2026-05-07T16:09:45+02:00
2026-05-07 15:41,OPEN,XLP,WHEEL,78.5,20260612,3,0.800000011920929,0.19906341813724177,26.52%,35,Expired,0,Score 94 | Buffer 6.2% | OrderID 51 | SignalID XLP-WHEEL-78.5--20260612 | Opening order not present in IBKR after 1725s 2026-05-07T16:09:45+02:00
2026-05-07 15:41,OPEN,XLV,WHEEL,139.0,20260612,2,0.9557313050005259,0.20032049407009386,17.93%,35,Expired,0,Score 80 | Buffer 4.3% | OrderID 52 | SignalID XLV-WHEEL-139.0--20260612 | Opening order not present in IBKR after 1725s 2026-05-07T16:09:45+02:00
2026-05-07 15:41,OPEN,EEM,WHEEL,63.5,20260612,3,0.6716510929392346,0.20679659561579145,28.46%,35,Expired,0,Score 61 | Buffer 5.9% | OrderID 53 | SignalID EEM-WHEEL-63.5--20260612 | Opening order not present in IBKR after 1725s 2026-05-07T16:09:45+02:00
2026-05-07 16:09,CLOSE_PROFIT,TLT,CLOSE,84.0,20260529,1,0.15000000596046448,0,0,0,Expired,15.23,50% profit ($15 >= $15) | CSP | OrderID 54 | Expired 2026-05-07T20:16:41+02:00 (monitor-loop age 14861s)
2026-05-07 16:20,OPEN,XLI,WHEEL,165.0,20260612,1,1.11,0.20091201935021302,25.73%,35,Filled,0,Score 94 | Buffer 6.3% | OrderID 55 | SignalID XLI-WHEEL-165.0--20260612 | Filled 2026-05-07T16:20:59+02:00
2026-05-07 16:20,OPEN,XLF,WHEEL,48.5,20260612,4,0.35,0.16882199873469222,23.06%,35,Expired,0,Score 82 | Buffer 6.3% | OrderID 56 | SignalID XLF-WHEEL-48.5--20260612 | Opening order not filled after 601s 2026-05-07T16:30:01+02:00
2026-05-07 16:20,OPEN,XLV,WHEEL,139.0,20260612,2,0.95,0.19857574062981728,18.15%,35,Expired,0,Score 80 | Buffer 4.3% | OrderID 57 | SignalID XLV-WHEEL-139.0--20260612 | Opening order not filled after 601s 2026-05-07T16:30:01+02:00
2026-05-07 16:20,OPEN,XLP,WHEEL,80.0,20260612,3,0.61,0.21910077883581405,19.15%,35,Expired,0,Score 73 | Buffer 4.4% | OrderID 58 | SignalID XLP-WHEEL-80.0--20260612 | Opening order not filled after 601s 2026-05-07T16:30:01+02:00
2026-05-07 16:20,OPEN,EEM,WHEEL,63.5,20260612,3,0.69,0.21011699358887662,28.10%,35,Expired,0,Score 60 | Buffer 5.7% | OrderID 59 | SignalID EEM-WHEEL-63.5--20260612 | Opening order not filled after 601s 2026-05-07T16:30:01+02:00
2026-05-07 16:32,OPEN,XLF,WHEEL,48.5,20260612,4,0.38,0.20568303538085808,26.02%,35,Expired,0,Score 92 | Buffer 6.2% | OrderID 60 | SignalID XLF-WHEEL-48.5--20260612 | Opening order not filled after 604s 2026-05-07T16:42:04+02:00
2026-05-07 16:32,OPEN,XLV,WHEEL,138.0,20260612,2,0.57,0.2100153917074621,20.20%,35,Filled,0,Score 82 | Buffer 4.7% | OrderID 61 | SignalID XLV-WHEEL-138.0--20260612 | Filled 2026-05-07T16:32:57+02:00
2026-05-07 17:43,OPEN,XLF,WHEEL,48.5,20260612,4,0.38,0.19903340527041105,27.08%,35,Expired,0,Score 94 | Buffer 6.2% | OrderID 62 | SignalID XLF-WHEEL-48.5--20260612 | Opening order not filled after 684s 2026-05-07T17:54:24+02:00
